source_material_code,description,uom,specifications,source_system
GAIL-1022,"STUD BOLT 5/8"" X 3.5"" CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H ZINC PLATED",EA,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1023,GATE VALVE 3 IN 150 LB ASTM A350 LF2 FLEXIBLE WEDGE,EA,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1024,WELD NECK FLANGE RING TYPE JOINT 3 INCH RATING CLASS 600 ASTM A182 F304L,NOS,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1025,"SPIRAL WOUND GASKET 8"" 900# SS 316L WINDINGS WITH CS OUTER RING GRAPHITE FILLER",PCS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1026,"RISING STEM GATE VALVE, 3IN, 900#, SS 316L",EA,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1027,"BALL VALVE 12"" CL 600 ASTM A350 LF2 2-PIECE",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1028,"2"" GATE VALVE ASTM A350 LF2 300LBS ASME B16.34",NOS,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1029,"WITH INNER & OUTER RING SPIRAL WOUND GASKET, 4 INCH, 150#, SS 304 WINDINGS",PC,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1030,"4"" SPIRAL WOUND GASKET SS 304 WINDINGS 150LBS ASME B16.20",NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1031,"BLIND FLANGE SMOOTH FINISH 3"" RATING CL 300 ASTM A105",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1032,"BLIND FLANGE RTJ FACING 10"" RATING CLASS 300 ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1033,"8"" SPIRAL WOUND GASKET SS 316L WINDINGS WITH CS OUTER RING 900# ASME B16.20",PCS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1034,2 IN BLIND FLANGE ASTM A350 LF2 300LBS ASME B16.5,PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1035,GATE VALVE FLEXIBLE WEDGE DN150 RATING 600# SS 316L,PC,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1036,CENTRIFUGAL PUMP DN 80 X DN 50 40 BAR DUCTILE IRON DI MULTI STAGE,NUMBER,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1037,"BALL VALVE TRUNNION MOUNTED 10"" RATING 900# DUPLEX 2205",NOS,"BS 5351 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1038,SPIRAL WOUND GASKET WITH INNER & OUTER RING 4 IN RATING 600 LB SS 304 WINDINGS,NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1039,CENTRIFUGAL PUMP DN 100 X DN 80 40 BAR DUCTILE IRON DI SINGLE STAGE END SUCTION,PC,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1040,"GATE VALVE 6"" 300# ASTM A216 WCB RISING STEM",NOS,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1041,"HORIZONTAL SPLIT CASE CENTRIFUGAL PUMP, DN 80 X DN 50, 16 BAR, STAINLESS STEEL 316",NOS,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1042,"1"" BLIND FLANGE ASTM A350 LF2 300# ASME B16.5",EACH,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1043,GATE VALVE 3 INCH 150 LB ASTM A350 LF2 FLEXIBLE WEDGE,EACH,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1044,SPIRAL WOUND GASKET PTFE FILLER 3 INCH RATING 900# SS 304 WINDINGS,NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1045,"WELD NECK FLANGE 6"" 1500# ASTM A182 F304L RAISED FACE",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1046,"WITH 2 HEAVY HEX NUTS STUD BOLT, 7/8"" X 5.5"", CLASS 2A/2B, ASTM A193 GRADE B7 WITH A194 2H",EA,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1047,"BALL VALVE 1/2"" 1500# SS 304 FULL BORE",NUMBER,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1048,"SPIRAL WOUND GASKET WITH INNER & OUTER RING 4"" RATING 150# SS 304 WINDINGS",NUMBER,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1049,"SEAMLESS PIPE 6"" SCH 80 API 5L GRADE B SCH 40",METER,"API 5L SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1050,"BALL VALVE FULL BORE 1/2"" RATING 1500# SS 304",NUMBER,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1051,"SEAMLESS PIPE THREADED 10"" RATING SCH 80 ASTM A312 TP316L",MTR,"ASTM A53 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1052,WELD NECK FLANGE 4 IN 600# ASTM A182 F316L RAISED FACE,NUMBER,"ASME B16.47 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1053,"WELD NECK FLANGE 3"" 600# ASTM A182 F304L RING TYPE JOINT",EA,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1054,"SPIRAL WOUND GASKET 4"" 600LBS SS 304 WINDINGS WITH INNER & OUTER RING",EA,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1055,"SCH 40 SEAMLESS PIPE, 6IN, SCH 80, API 5L GRADE B",METER,"API 5L SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1056,"SEAMLESS PIPE THREADED 10"" RATING SCH 80 ASTM A312 TP316L",MTR,"ASTM A53 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1057,"6"" GATE VALVE ASTM A217 WC6 600# API 602",PC,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1058,"6"" WELD NECK FLANGE ASTM A182 F304L 1500# ASME B16.5",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1059,"BLIND FLANGE SMOOTH FINISH 1"" RATING 300LBS ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1060,"RISING STEM GATE VALVE, DN100, 900#, ASTM A350 LF2",PC,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1061,"BLIND FLANGE 2"" 300# ASTM A350 LF2 RTJ FACING",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1062,WELD NECK FLANGE FLAT FACE DN150 RATING 150 LB ASTM A182 F304L,EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1063,"MULTI STAGE CENTRIFUGAL PUMP, DN 150 X DN 100, 16 BAR, DUCTILE IRON DI",NUMBER,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1064,"RTJ FACING BLIND FLANGE, 8"", 600#, ASTM A182 F316L",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1065,CENTRIFUGAL PUMP MULTI STAGE DN 150 X DN 100 RATING 40 BAR DUCTILE IRON DI,SET,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1066,SPIRAL WOUND GASKET PTFE FILLER 3 IN RATING 900# SS 304 WINDINGS,EA,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1067,"2"" BLIND FLANGE ASTM A182 F316L 150 LB ASME B16.5",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1068,"1"" BALL VALVE ASTM A216 WCB 900# API 6D",NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1069,"SINGLE STAGE END SUCTION CENTRIFUGAL PUMP, DN 80 X DN 50, 40 BAR, CAST IRON CI",SET,"ISO 5199 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1070,CENTRIFUGAL PUMP DN 80 X DN 50 16 BAR STAINLESS STEEL 316 HORIZONTAL SPLIT CASE,EA,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1071,"STUD BOLT WITH 2 HEAVY HEX NUTS 7/8"" X 5.5"" RATING CLASS 2A/2B ASTM A320 L7",SET,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1072,"WEDGE TYPE GATE VALVE, DN150, 600#, ASTM A217 WC6",PC,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1073,"3"" GATE VALVE ASTM A350 LF2 150# API 600",EA,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1074,"12"" BALL VALVE ASTM A350 LF2 600# API 6D",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1075,"WITH 2 HEAVY HEX NUTS STUD BOLT, 3/4"" X 4.5"", CLASS 2A/2B, ASTM A320 L7",EA,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1076,CENTRIFUGAL PUMP MULTI STAGE DN 80 X DN 50 RATING 25 BAR SST 316,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1077,BLIND FLANGE 2 IN 300# ASTM A350 LF2 RTJ FACING,EACH,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1078,"STUD BOLT 3/4"" X 4.5"" CLASS 2A/2B ASTM A320 L7 WITH 2 HEAVY HEX NUTS",NOS,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1079,CENTRIFUGAL PUMP SINGLE STAGE END SUCTION DN 100 X DN 80 RATING 40 BAR DUCTILE IRON DI,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1080,"7/8"" X 5.5"" STUD BOLT ASTM A320 L7 CLASS 2A/2B ASME B18.2.1",SET,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1081,"2-PIECE BALL VALVE, 12"", CL 600, ASTM A350 LF2",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1082,"BALL VALVE 10"" 600# ASTM A350 LF2 FLOATING",NOS,"BS 5351 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1083,WELD NECK FLANGE 4 IN 600# ASTM A182 F316L RAISED FACE,NUMBER,"ASME B16.47 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1084,"BALL VALVE FLOATING 10"" RATING 600# ASTM A350 LF2",EACH,"BS 5351 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1085,"STUD BOLT WITH 2 HEAVY HEX NUTS 7/8"" X 5.5"" RATING CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H",EA,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1086,"BLIND FLANGE 8"" 150# ASTM A182 F316L RTJ FACING",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1087,"GATE VALVE FLEXIBLE WEDGE 3"" RATING 150# ASTM A350 LF2",EA,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1088,BLIND FLANGE SMOOTH FINISH 3 INCH RATING 300# ASTM A105,EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1089,"SMOOTH FINISH BLIND FLANGE, 8"", CL 600, ASTM A182 F316L",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1090,"1/2"" BALL VALVE SS 304 1500# ASME B16.34",NUMBER,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1091,CENTRIFUGAL PUMP DN 80 X DN 50 16 BAR S.S. 316 HORIZONTAL SPLIT CASE,NOS,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1092,"FLOATING BALL VALVE, 8"", 1500#, SS 316",NOS,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1093,"SEAMLESS PIPE 10"" SCH 80 ASTM A312 TP316L THREADED",MTR,"ASTM A53 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1094,"RAISED FACE BLIND FLANGE, 8"", CL 600, ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1095,"BLIND FLANGE 8"" 600# ASTM A182 F316L RTJ FACING",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1096,CENTRIFUGAL PUMP MULTI STAGE DN 80 X DN 50 RATING 25 BAR STAINLESS STEEL 316,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1097,"BLIND FLANGE RAISED FACE 2"" RATING 300# ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1098,"SPIRAL WOUND GASKET 3"" 900# SS 304 WINDINGS PTFE FILLER",NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1099,"ZINC PLATED STUD BOLT, 5/8"" X 3.5"", CLASS 2A/2B, ASTM A193 GRADE B7 WITH A194 2H",NUMBER,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1100,"BALL VALVE FULL BORE 10"" RATING 600# ASTM A216 WCB",SET,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1101,"BALL VALVE 3-PIECE 1-1/2"" RATING 1500# SS 316",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1102,GATE VALVE 3 IN 150# ASTM A350 LF2 FLEXIBLE WEDGE,EA,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1103,"2-PIECE BALL VALVE, 2"", 150 LB, SS 304",SET,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1104,SPIRAL WOUND GASKET WITH CENTERING RING DN50 RATING CLASS 600 SS 304 WINDINGS,PC,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1105,"SPIRAL WOUND GASKET 3"" 900# SS 304 WINDINGS PTFE FILLER",EA,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1106,"STUD BOLT WITH 2 HEAVY HEX NUTS 7/8"" X 5.5"" RATING CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H",EA,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1107,"RISING STEM GATE VALVE, 3 INCH, 900#, SS 316L",PC,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1108,CENTRIFUGAL PUMP MULTI STAGE DN 80 X DN 50 RATING 25 BAR SS 316,NOS,"ISO 5199 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1109,"MULTI STAGE CENTRIFUGAL PUMP, DN 150 X DN 100, 40 BAR, DUCTILE IRON DI",SET,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1110,"SINGLE STAGE END SUCTION CENTRIFUGAL PUMP, DN 100 X DN 80, 40 BAR, DUCTILE IRON DI",NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1111,4 IN WELD NECK FLANGE ASTM A182 F316L 600# ASME B16.47,NUMBER,"ASME B16.47 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1112,"CADMIUM PLATED STUD BOLT, 5/8"" X 3.5"", CLASS 2A/2B, ASTM A193 GRADE B7 WITH A194 2H",SET,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1113,"SEAMLESS PIPE 6"" SCH 80 API 5L GRADE B SCH 40",METER,"API 5L SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1114,"WELD NECK FLANGE 3"" 600# ASTM A182 F304L RING TYPE JOINT",NOS,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1115,"1"" X 6.5"" STUD BOLT ASTM A320 L7 CLASS 2A/2B ASME B18.2.1",NOS,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1116,SPIRAL WOUND GASKET 4 INCH 300# SS 304 WINDINGS PTFE FILLER,NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1117,"SEAMLESS PIPE THREADED 10"" RATING SCH 80 ASTM A312 TP316L",MTR,"ASTM A53 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1118,"BLIND FLANGE SMOOTH FINISH 3"" RATING 300# ASTM A105",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1119,"BALL VALVE 3-PIECE 1-1/2"" RATING 1500# SS 316",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1120,"WITH 2 HEAVY HEX NUTS STUD BOLT, 3/4"" X 4.5"", CLASS 2A/2B, ASTM A320 L7",EA,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1121,"12"" BALL VALVE ASTM A350 LF2 600LBS API 6D",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1122,"RAISED FACE WELD NECK FLANGE, 12"", 600#, ASTM A105",PC,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1123,CENTRIFUGAL PUMP DN 80 X DN 50 25 BAR STAINLESS STEEL 316 MULTI STAGE,NOS,"ISO 5199 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1124,3 INCH SPIRAL WOUND GASKET SS 304 WINDINGS 900# ASME B16.20,NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1125,"10"" BLIND FLANGE ASTM A105 CL 300 ASME B16.5",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1126,"8"" SPIRAL WOUND GASKET SS 316L WINDINGS WITH CS OUTER RING 900# ASME B16.20",PCS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1127,"WEDGE TYPE GATE VALVE, 6 INCH, CLASS 600, ASTM A217 WC6",PC,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1128,"FULL BORE BALL VALVE, 10"", 600#, ASTM A216 WCB",SET,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1129,"WELD NECK FLANGE 10"" 1500# ASTM A182 F316L RAISED FACE",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1130,CENTRIFUGAL PUMP DN 150 X DN 100 40 BAR DUCTILE IRON DI MULTI STAGE,SET,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1131,"RAISED FACE BLIND FLANGE, 2"", 300#, ASTM A350 LF2",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1132,"8"" BLIND FLANGE ASTM A350 LF2 150 LB ASME B16.5",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
