text_a,text_b,label,source
"GATE VALVE 3"" 600# SS 316L WEDGE TYPE","GATE VALVE 3"" 300# SS 316L WEDGE TYPE",0.0,SYNTHETIC_CRITICAL_CONFLICT
GATE VALVE 4IN 150# SS 316L NON RISING STEM,4 INCH GATE VALVE NON RISING STEM CL 150 SS 316L,1.0,SYNTHETIC_MRO_CLUSTER
GATE VALVE 4IN 150# SS 316L NON RISING STEM,"GATE VALVE 4"" 150 LB ASTM A216 WCB NON RISING STEM",0.0,SYNTHETIC_CRITICAL_CONFLICT
"STUD BOLT 3/4"" X 4.5"" CLASS 2A/2B ASTM A320 L7 ZINC PLATED","ASTM A320 L7 STUD BOLT, 3/4"" X 4.5"", CLASS 2A/2B, ZINC PLATED, STD: ASME B18.2.2",1.0,SYNTHETIC_MRO_CLUSTER
"STUD BOLT 3/4"" X 4.5"" CLASS 2A/2B ASTM A320 L7 ZINC PLATED","STUD BOLT 3/4"" X 4.5"" CLASS 2A/2B ASTM A193 B8M WITH A194 8M ZINC PLATED",0.0,SYNTHETIC_CRITICAL_CONFLICT
SEAMLESS PIPE 3 IN SCH STD API 5L GRADE B PLAIN ENDS,"SEAMLESS PIPE PLAIN ENDS RATING: SCH STD SIZE: 3"" MAT: API 5L GRADE B",1.0,SYNTHETIC_MRO_CLUSTER
SEAMLESS PIPE 3 IN SCH STD API 5L GRADE B PLAIN ENDS,"SEAMLESS PIPE 3"" SCH 80 API 5L GRADE B PLAIN ENDS",0.0,SYNTHETIC_CRITICAL_CONFLICT
"SPIRAL WOUND GASKET 8"" 900# SS 304 WINDINGS WITH CENTERING RING","SS 304 WINDINGS SPIRAL WOUND GASKET, 8"", 900#, WITH CENTERING RING, STD: ASME B16.20",1.0,SYNTHETIC_MRO_CLUSTER
"SPIRAL WOUND GASKET 8"" 900# SS 304 WINDINGS WITH CENTERING RING","SPIRAL WOUND GASKET 8"" 900# SS 316L WINDINGS WITH CS OUTER RING WITH CENTERING RING",0.0,SYNTHETIC_CRITICAL_CONFLICT
SPIRAL WOUND GASKET 6IN 600# SS 316L WINDINGS WITH CS OUTER RING WITH CENTERING RING,"SS 316L WINDINGS WITH CS OUTER RING SPIRAL WOUND GASKET, 6"", CLASS 600, WITH CENTERING RING, STD: ASME B16.20",1.0,SYNTHETIC_MRO_CLUSTER
SPIRAL WOUND GASKET 6IN 600# SS 316L WINDINGS WITH CS OUTER RING WITH CENTERING RING,"SPIRAL WOUND GASKET 6"" CL 600 SS 304 WINDINGS WITH CENTERING RING",0.0,SYNTHETIC_CRITICAL_CONFLICT
"BALL VALVE 2"" 900# ASTM A105 TRUNNION MOUNTED",2IN BALL VALVE TRUNNION MOUNTED 900# ASTM A105,1.0,SYNTHETIC_MRO_CLUSTER
"BALL VALVE 2"" 900# ASTM A105 TRUNNION MOUNTED","BALL VALVE 2"" 900# ASTM A350 LF2 TRUNNION MOUNTED",0.0,SYNTHETIC_CRITICAL_CONFLICT
"SEAMLESS PIPE 8"" SCH STD API 5L GRADE B PLAIN ENDS","API 5L GRADE B SEAMLESS PIPE, 8"", SCH STD, PLAIN ENDS, STD: ASME B36.10M",1.0,SYNTHETIC_MRO_CLUSTER
"SEAMLESS PIPE 8"" SCH STD API 5L GRADE B PLAIN ENDS","SEAMLESS PIPE 8"" SCH STD ASTM A106 GRADE B PLAIN ENDS",0.0,SYNTHETIC_CRITICAL_CONFLICT
WELD NECK FLANGE 4IN 600# ASTM A182 F316L FLAT FACE,"4"" WELD NECK FLANGE FLAT FACE 600 LB ASTM A182 F316L",1.0,SYNTHETIC_MRO_CLUSTER
WELD NECK FLANGE 4IN 600# ASTM A182 F316L FLAT FACE,WELD NECK FLANGE 4 IN 1500# ASTM A182 F316L FLAT FACE,0.0,SYNTHETIC_CRITICAL_CONFLICT
WELD NECK FLANGE 6 IN 300# ASTM A105 FLAT FACE,6 IN WELD NECK FLANGE FLAT FACE 300# ASTM A105,1.0,SYNTHETIC_MRO_CLUSTER
WELD NECK FLANGE 6 IN 300# ASTM A105 FLAT FACE,WELD NECK FLANGE DN150 300# ASTM A182 F316L FLAT FACE,0.0,SYNTHETIC_CRITICAL_CONFLICT
"BALL VALVE 1"" 150# ASTM A105 FLOATING","ASTM A105 BALL VALVE, 1"", 150LBS, FLOATING, STD: API 608",1.0,SYNTHETIC_MRO_CLUSTER
"BALL VALVE 1"" 150# ASTM A105 FLOATING","BALL VALVE 1"" 150 LB SS 304 FLOATING",0.0,SYNTHETIC_CRITICAL_CONFLICT
"BALL VALVE 3"" 300 LB DUPLEX 2205 3-PIECE","DUPLEX 2205 BALL VALVE, 3"", 300#, 3-PIECE, STD: API 608",1.0,SYNTHETIC_MRO_CLUSTER
"BALL VALVE 3"" 300 LB DUPLEX 2205 3-PIECE","BALL VALVE 3"" 1500# DUPLEX 2205 3-PIECE",0.0,SYNTHETIC_CRITICAL_CONFLICT
SPIRAL WOUND GASKET 6 IN CLASS 600 SS 304 WINDINGS PTFE FILLER,"SS 304 WINDINGS SPIRAL WOUND GASKET, DN150, CLASS 600, PTFE FILLER, STD: ASME B16.20",1.0,SYNTHETIC_MRO_CLUSTER
SPIRAL WOUND GASKET 6 IN CLASS 600 SS 304 WINDINGS PTFE FILLER,SPIRAL WOUND GASKET 6 IN 600# SS 316L WINDINGS WITH CS OUTER RING PTFE FILLER,0.0,SYNTHETIC_CRITICAL_CONFLICT
CENTRIFUGAL PUMP DN 50 X DN 32 16 BAR SS 316 SINGLE STAGE END SUCTION,DN 50 X DN 32 CENTRIFUGAL PUMP SINGLE STAGE END SUCTION 16 BAR STAINLESS STEEL 316,1.0,SYNTHETIC_MRO_CLUSTER
CENTRIFUGAL PUMP DN 50 X DN 32 16 BAR SS 316 SINGLE STAGE END SUCTION,CENTRIFUGAL PUMP DN 50 X DN 32 25 BAR S.S. 316 SINGLE STAGE END SUCTION,0.0,SYNTHETIC_CRITICAL_CONFLICT
"GATE VALVE 10"" CL 600 ASTM A216 WCB RISING STEM","ASTM A216 WCB GATE VALVE, 10"", 600 LB, RISING STEM, STD: ASME B16.34",1.0,SYNTHETIC_MRO_CLUSTER
"GATE VALVE 10"" CL 600 ASTM A216 WCB RISING STEM","GATE VALVE 10"" CL 300 ASTM A216 WCB RISING STEM",0.0,SYNTHETIC_CRITICAL_CONFLICT
CENTRIFUGAL PUMP DN 50 X DN 32 16 BAR DUCTILE IRON DI SINGLE STAGE END SUCTION,CENTRIFUGAL PUMP SINGLE STAGE END SUCTION RATING: 16 BAR SIZE: DN 50 X DN 32 MAT: DUCTILE IRON DI,1.0,SYNTHETIC_MRO_CLUSTER
CENTRIFUGAL PUMP DN 50 X DN 32 16 BAR DUCTILE IRON DI SINGLE STAGE END SUCTION,CENTRIFUGAL PUMP DN 50 X DN 32 16 BAR BRONZE SINGLE STAGE END SUCTION,0.0,SYNTHETIC_CRITICAL_CONFLICT
CENTRIFUGAL PUMP DN 150 X DN 100 16 BAR STAINLESS STEEL 316 SINGLE STAGE END SUCTION,CENTRIFUGAL PUMP SINGLE STAGE END SUCTION RATING: 16 BAR SIZE: DN 150 X DN 100 MAT: SST 316,1.0,SYNTHETIC_MRO_CLUSTER
CENTRIFUGAL PUMP DN 150 X DN 100 16 BAR STAINLESS STEEL 316 SINGLE STAGE END SUCTION,CENTRIFUGAL PUMP DN 150 X DN 100 25 BAR STAINLESS STEEL 316 SINGLE STAGE END SUCTION,0.0,SYNTHETIC_CRITICAL_CONFLICT
"BLIND FLANGE 10"" 300# ASTM A350 LF2 RAISED FACE","10"" BLIND FLANGE RAISED FACE 300# ASTM A350 LF2",1.0,SYNTHETIC_MRO_CLUSTER
"BLIND FLANGE 10"" 300# ASTM A350 LF2 RAISED FACE","BLIND FLANGE 10"" 300# ASTM A105 RAISED FACE",0.0,SYNTHETIC_CRITICAL_CONFLICT
"BALL VALVE 4"" 600 LB ASTM A216 WCB 3-PIECE","ASTM A216 WCB BALL VALVE, 4 IN, 600#, 3-PIECE, STD: ASME B16.34",1.0,SYNTHETIC_MRO_CLUSTER
"BALL VALVE 4"" 600 LB ASTM A216 WCB 3-PIECE","BALL VALVE 4"" 1500# ASTM A216 WCB 3-PIECE",0.0,SYNTHETIC_CRITICAL_CONFLICT
"BALL VALVE 10"" CLASS 600 ASTM A105 TRUNNION MOUNTED","ASTM A105 BALL VALVE, 10"", 600#, TRUNNION MOUNTED, STD: ASME B16.34",1.0,SYNTHETIC_MRO_CLUSTER
"BALL VALVE 10"" CLASS 600 ASTM A105 TRUNNION MOUNTED","BALL VALVE 10"" CLASS 600 SS 304 TRUNNION MOUNTED",0.0,SYNTHETIC_CRITICAL_CONFLICT
CENTRIFUGAL PUMP DN 150 X DN 100 40 BAR S.S. 316 SINGLE STAGE END SUCTION,DN 150 X DN 100 CENTRIFUGAL PUMP SINGLE STAGE END SUCTION 40 BAR S.S. 316,1.0,SYNTHETIC_MRO_CLUSTER
CENTRIFUGAL PUMP DN 150 X DN 100 40 BAR S.S. 316 SINGLE STAGE END SUCTION,CENTRIFUGAL PUMP DN 150 X DN 100 16 BAR STAINLESS STEEL 316 SINGLE STAGE END SUCTION,0.0,SYNTHETIC_CRITICAL_CONFLICT
"BALL VALVE 2"" 600LBS ASTM A105 FLOATING","ASTM A105 BALL VALVE, 2"", 600LBS, FLOATING, STD: BS 5351",1.0,SYNTHETIC_MRO_CLUSTER
"BALL VALVE 2"" 600LBS ASTM A105 FLOATING",BALL VALVE 2IN 150 LB ASTM A105 FLOATING,0.0,SYNTHETIC_CRITICAL_CONFLICT
"BLIND FLANGE 1"" 300 LB ASTM A105 SMOOTH FINISH","1"" BLIND FLANGE SMOOTH FINISH CL 300 ASTM A105",1.0,SYNTHETIC_MRO_CLUSTER
"BLIND FLANGE 1"" 300 LB ASTM A105 SMOOTH FINISH","BLIND FLANGE 1"" 300 LB ASTM A182 F316L SMOOTH FINISH",0.0,SYNTHETIC_CRITICAL_CONFLICT
"BALL VALVE 2"" 900# SS 316 FULL BORE","SS 316 BALL VALVE, 2"", 900#, FULL BORE, STD: API 608",1.0,SYNTHETIC_MRO_CLUSTER
"BALL VALVE 2"" 900# SS 316 FULL BORE","BALL VALVE 2"" 900# ASTM A105 FULL BORE",0.0,SYNTHETIC_CRITICAL_CONFLICT
"WELD NECK FLANGE 12"" 1500# ASTM A350 LF2 FLAT FACE","ASTM A350 LF2 WELD NECK FLANGE, 12"", 1500#, FLAT FACE, STD: ASME B16.5",1.0,SYNTHETIC_MRO_CLUSTER
"WELD NECK FLANGE 12"" 1500# ASTM A350 LF2 FLAT FACE","WELD NECK FLANGE 12"" 900# ASTM A350 LF2 FLAT FACE",0.0,SYNTHETIC_CRITICAL_CONFLICT
"WELD NECK FLANGE 10"" 150# ASTM A105 RAISED FACE","10"" WELD NECK FLANGE RAISED FACE 150# ASTM A105",1.0,SYNTHETIC_MRO_CLUSTER
"WELD NECK FLANGE 10"" 150# ASTM A105 RAISED FACE","WELD NECK FLANGE 10"" 150LBS ASTM A350 LF2 RAISED FACE",0.0,SYNTHETIC_CRITICAL_CONFLICT
"STUD BOLT 5/8"" X 3.5"" CLASS 2A/2B ASTM A320 L7 CADMIUM PLATED","STUD BOLT CADMIUM PLATED RATING: CLASS 2A/2B SIZE: 5/8"" X 3.5"" MAT: ASTM A320 L7",1.0,SYNTHETIC_MRO_CLUSTER
"STUD BOLT 5/8"" X 3.5"" CLASS 2A/2B ASTM A320 L7 CADMIUM PLATED","STUD BOLT 5/8"" X 3.5"" CLASS 2A/2B ASTM A193 B8M WITH A194 8M CADMIUM PLATED",0.0,SYNTHETIC_CRITICAL_CONFLICT
WELD NECK FLANGE 6 IN 1500# ASTM A105 RAISED FACE,WELD NECK FLANGE RAISED FACE RATING: 1500# SIZE: 6IN MAT: ASTM A105,1.0,SYNTHETIC_MRO_CLUSTER
WELD NECK FLANGE 6 IN 1500# ASTM A105 RAISED FACE,"WELD NECK FLANGE 6"" 1500# ASTM A350 LF2 RAISED FACE",0.0,SYNTHETIC_CRITICAL_CONFLICT
"GATE VALVE 2"" 1500# ASTM A216 WCB RISING STEM",2 IN GATE VALVE RISING STEM 1500# ASTM A216 WCB,1.0,SYNTHETIC_MRO_CLUSTER
"GATE VALVE 2"" 1500# ASTM A216 WCB RISING STEM","GATE VALVE 2"" 900# ASTM A216 WCB RISING STEM",0.0,SYNTHETIC_CRITICAL_CONFLICT
"BALL VALVE 1/2"" 300 LB DUPLEX 2205 FLOATING","DUPLEX 2205 BALL VALVE, 1/2"", 300LBS, FLOATING, STD: API 6D",1.0,SYNTHETIC_MRO_CLUSTER
"BALL VALVE 1/2"" 300 LB DUPLEX 2205 FLOATING","BALL VALVE 1/2"" 900# DUPLEX 2205 FLOATING",0.0,SYNTHETIC_CRITICAL_CONFLICT
"SPIRAL WOUND GASKET 6"" 300# SS 316L WINDINGS WITH CS OUTER RING WITH CENTERING RING",6 INCH SPIRAL WOUND GASKET WITH CENTERING RING 300# SS 316L WINDINGS WITH CS OUTER RING,1.0,SYNTHETIC_MRO_CLUSTER
"SPIRAL WOUND GASKET 6"" 300# SS 316L WINDINGS WITH CS OUTER RING WITH CENTERING RING","SPIRAL WOUND GASKET 6"" 600# SS 316L WINDINGS WITH CS OUTER RING WITH CENTERING RING",0.0,SYNTHETIC_CRITICAL_CONFLICT
WELD NECK FLANGE 4 INCH 150LBS ASTM A105 RAISED FACE,"ASTM A105 WELD NECK FLANGE, 4 IN, 150 LB, RAISED FACE, STD: DIN 2633",1.0,SYNTHETIC_MRO_CLUSTER
WELD NECK FLANGE 4 INCH 150LBS ASTM A105 RAISED FACE,WELD NECK FLANGE 4IN 900# ASTM A105 RAISED FACE,0.0,SYNTHETIC_CRITICAL_CONFLICT
"STUD BOLT 1"" X 6.5"" CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H CADMIUM PLATED","ASTM A193 GRADE B7 WITH A194 2H STUD BOLT, 1"" X 6.5"", CLASS 2A/2B, CADMIUM PLATED, STD: ASME B18.2.1",1.0,SYNTHETIC_MRO_CLUSTER
"STUD BOLT 1"" X 6.5"" CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H CADMIUM PLATED","STUD BOLT 1"" X 6.5"" CLASS 2A/2B ASTM A320 L7 CADMIUM PLATED",0.0,SYNTHETIC_CRITICAL_CONFLICT
"WELD NECK FLANGE 6"" 300 LB ASTM A182 F304L FLAT FACE","ASTM A182 F304L WELD NECK FLANGE, DN150, CLASS 300, FLAT FACE, STD: DIN 2633",1.0,SYNTHETIC_MRO_CLUSTER
"WELD NECK FLANGE 6"" 300 LB ASTM A182 F304L FLAT FACE","WELD NECK FLANGE 6"" CL 300 ASTM A105 FLAT FACE",0.0,SYNTHETIC_CRITICAL_CONFLICT
"GATE VALVE 3"" 600LBS SS 316L FLEXIBLE WEDGE","3"" GATE VALVE FLEXIBLE WEDGE 600LBS SS 316L",1.0,SYNTHETIC_MRO_CLUSTER
"GATE VALVE 3"" 600LBS SS 316L FLEXIBLE WEDGE","GATE VALVE 3"" 900# SS 316L FLEXIBLE WEDGE",0.0,SYNTHETIC_CRITICAL_CONFLICT
"BALL VALVE 12"" 900# SS 304 REDUCED BORE","SS 304 BALL VALVE, 12"", 900#, REDUCED BORE, STD: API 6D",1.0,SYNTHETIC_MRO_CLUSTER
"BALL VALVE 12"" 900# SS 304 REDUCED BORE","BALL VALVE 12"" 900# ASTM A105 REDUCED BORE",0.0,SYNTHETIC_CRITICAL_CONFLICT
CENTRIFUGAL PUMP DN 80 X DN 50 40 BAR CAST IRON CI HORIZONTAL SPLIT CASE,"CAST IRON CI CENTRIFUGAL PUMP, DN 80 X DN 50, 40 BAR, HORIZONTAL SPLIT CASE, STD: API 610",1.0,SYNTHETIC_MRO_CLUSTER
CENTRIFUGAL PUMP DN 80 X DN 50 40 BAR CAST IRON CI HORIZONTAL SPLIT CASE,CENTRIFUGAL PUMP DN 80 X DN 50 25 BAR CAST IRON CI HORIZONTAL SPLIT CASE,0.0,SYNTHETIC_CRITICAL_CONFLICT
"SPIRAL WOUND GASKET 10"" CL 300 SS 304 WINDINGS WITH CENTERING RING","SS 304 WINDINGS SPIRAL WOUND GASKET, 10"", 300LBS, WITH CENTERING RING, STD: ASME B16.20",1.0,SYNTHETIC_MRO_CLUSTER
"SPIRAL WOUND GASKET 10"" CL 300 SS 304 WINDINGS WITH CENTERING RING","SPIRAL WOUND GASKET 10"" 300# SS 316L WINDINGS WITH CS OUTER RING WITH CENTERING RING",0.0,SYNTHETIC_CRITICAL_CONFLICT
"WELD NECK FLANGE 1"" 900# ASTM A350 LF2 RING TYPE JOINT","1"" WELD NECK FLANGE RING TYPE JOINT 900# ASTM A350 LF2",1.0,SYNTHETIC_MRO_CLUSTER
"WELD NECK FLANGE 1"" 900# ASTM A350 LF2 RING TYPE JOINT","WELD NECK FLANGE 1"" 300# ASTM A350 LF2 RING TYPE JOINT",0.0,SYNTHETIC_CRITICAL_CONFLICT
"GATE VALVE 3"" 1500# ASTM A350 LF2 RISING STEM","3"" GATE VALVE RISING STEM 1500# ASTM A350 LF2",1.0,SYNTHETIC_MRO_CLUSTER
"GATE VALVE 3"" 1500# ASTM A350 LF2 RISING STEM","GATE VALVE 3"" 150# ASTM A350 LF2 RISING STEM",0.0,SYNTHETIC_CRITICAL_CONFLICT
CENTRIFUGAL PUMP DN 80 X DN 50 16 BAR CAST IRON CI SINGLE STAGE END SUCTION,"CAST IRON CI CENTRIFUGAL PUMP, DN 80 X DN 50, 16 BAR, SINGLE STAGE END SUCTION, STD: ISO 2858",1.0,SYNTHETIC_MRO_CLUSTER
CENTRIFUGAL PUMP DN 80 X DN 50 16 BAR CAST IRON CI SINGLE STAGE END SUCTION,CENTRIFUGAL PUMP DN 80 X DN 50 16 BAR S.S. 316 SINGLE STAGE END SUCTION,0.0,SYNTHETIC_CRITICAL_CONFLICT
"WELD NECK FLANGE 1/2"" 1500# ASTM A182 F316L RING TYPE JOINT","ASTM A182 F316L WELD NECK FLANGE, 1/2"", 1500#, RING TYPE JOINT, STD: ASME B16.5",1.0,SYNTHETIC_MRO_CLUSTER
"WELD NECK FLANGE 1/2"" 1500# ASTM A182 F316L RING TYPE JOINT","WELD NECK FLANGE 1/2"" 1500# ASTM A105 RING TYPE JOINT",0.0,SYNTHETIC_CRITICAL_CONFLICT
"STUD BOLT 1"" X 6.5"" CLASS 2A/2B ASTM A320 L7 FULLY THREADED","STUD BOLT FULLY THREADED RATING: CLASS 2A/2B SIZE: 1"" X 6.5"" MAT: ASTM A320 L7",1.0,SYNTHETIC_MRO_CLUSTER
"STUD BOLT 1"" X 6.5"" CLASS 2A/2B ASTM A320 L7 FULLY THREADED","STUD BOLT 1"" X 6.5"" CLASS 2A/2B ASTM A193 B8M WITH A194 8M FULLY THREADED",0.0,SYNTHETIC_CRITICAL_CONFLICT
CENTRIFUGAL PUMP DN 150 X DN 100 16 BAR STAINLESS STEEL 316 SINGLE STAGE END SUCTION,DN 150 X DN 100 CENTRIFUGAL PUMP SINGLE STAGE END SUCTION 16 BAR STAINLESS STEEL 316,1.0,SYNTHETIC_MRO_CLUSTER
CENTRIFUGAL PUMP DN 150 X DN 100 16 BAR STAINLESS STEEL 316 SINGLE STAGE END SUCTION,CENTRIFUGAL PUMP DN 150 X DN 100 16 BAR CAST IRON CI SINGLE STAGE END SUCTION,0.0,SYNTHETIC_CRITICAL_CONFLICT
"BLIND FLANGE 2"" 300LBS ASTM A182 F316L RTJ FACING","2"" BLIND FLANGE RTJ FACING 300# ASTM A182 F316L",1.0,SYNTHETIC_MRO_CLUSTER
"BLIND FLANGE 2"" 300LBS ASTM A182 F316L RTJ FACING",BLIND FLANGE 2 INCH 150LBS ASTM A182 F316L RTJ FACING,0.0,SYNTHETIC_CRITICAL_CONFLICT
"SPIRAL WOUND GASKET 1/2"" 300# MONEL 400 PTFE FILLER","1/2"" SPIRAL WOUND GASKET PTFE FILLER CLASS 300 MONEL 400",1.0,SYNTHETIC_MRO_CLUSTER
"SPIRAL WOUND GASKET 1/2"" 300# MONEL 400 PTFE FILLER","SPIRAL WOUND GASKET 1/2"" 300LBS SS 316L WINDINGS WITH CS OUTER RING PTFE FILLER",0.0,SYNTHETIC_CRITICAL_CONFLICT
"WELD NECK FLANGE 6"" 1500# ASTM A105 RING TYPE JOINT",6IN WELD NECK FLANGE RING TYPE JOINT 1500# ASTM A105,1.0,SYNTHETIC_MRO_CLUSTER
"WELD NECK FLANGE 6"" 1500# ASTM A105 RING TYPE JOINT",WELD NECK FLANGE DN150 150# ASTM A105 RING TYPE JOINT,0.0,SYNTHETIC_CRITICAL_CONFLICT
"STUD BOLT 7/8"" X 5.5"" CLASS 2A/2B ASTM A320 L7 CADMIUM PLATED","7/8"" X 5.5"" STUD BOLT CADMIUM PLATED CLASS 2A/2B ASTM A320 L7",1.0,SYNTHETIC_MRO_CLUSTER
"STUD BOLT 7/8"" X 5.5"" CLASS 2A/2B ASTM A320 L7 CADMIUM PLATED","STUD BOLT 7/8"" X 5.5"" CLASS 2A/2B ASTM A193 B8M WITH A194 8M CADMIUM PLATED",0.0,SYNTHETIC_CRITICAL_CONFLICT
"GATE VALVE 12"" 900# ASTM A350 LF2 NON RISING STEM","ASTM A350 LF2 GATE VALVE, 12"", 900#, NON RISING STEM, STD: BS 1414",1.0,SYNTHETIC_MRO_CLUSTER
"GATE VALVE 12"" 900# ASTM A350 LF2 NON RISING STEM","GATE VALVE 12"" 600# ASTM A350 LF2 NON RISING STEM",0.0,SYNTHETIC_CRITICAL_CONFLICT
"SEAMLESS PIPE 6"" SCH 40 ASTM A312 TP316L BEVELED ENDS","6"" SEAMLESS PIPE BEVELED ENDS SCH 40 ASTM A312 TP316L",1.0,SYNTHETIC_MRO_CLUSTER
"SEAMLESS PIPE 6"" SCH 40 ASTM A312 TP316L BEVELED ENDS","SEAMLESS PIPE 6"" SCH 40 API 5L GRADE B BEVELED ENDS",0.0,SYNTHETIC_CRITICAL_CONFLICT
"BALL VALVE 10"" CLASS 300 ASTM A105 FLOATING","ASTM A105 BALL VALVE, 10"", 300 LB, FLOATING, STD: ASME B16.34",1.0,SYNTHETIC_MRO_CLUSTER
"BALL VALVE 10"" CLASS 300 ASTM A105 FLOATING","BALL VALVE 10"" 1500# ASTM A105 FLOATING",0.0,SYNTHETIC_CRITICAL_CONFLICT
SPIRAL WOUND GASKET 4 INCH 600# SS 304 WINDINGS WITH INNER & OUTER RING,"SS 304 WINDINGS SPIRAL WOUND GASKET, 4IN, CLASS 600, WITH INNER & OUTER RING, STD: ASME B16.20",1.0,SYNTHETIC_MRO_CLUSTER
SPIRAL WOUND GASKET 4 INCH 600# SS 304 WINDINGS WITH INNER & OUTER RING,SPIRAL WOUND GASKET 4 IN 600 LB SS 316L WINDINGS WITH CS OUTER RING WITH INNER & OUTER RING,0.0,SYNTHETIC_CRITICAL_CONFLICT
"BLIND FLANGE 8"" CLASS 150 ASTM A182 F316L RAISED FACE","BLIND FLANGE RAISED FACE RATING: 150 LB SIZE: 8"" MAT: ASTM A182 F316L",1.0,SYNTHETIC_MRO_CLUSTER
"BLIND FLANGE 8"" CLASS 150 ASTM A182 F316L RAISED FACE","BLIND FLANGE 8"" 600# ASTM A182 F316L RAISED FACE",0.0,SYNTHETIC_CRITICAL_CONFLICT
"GATE VALVE 8"" CLASS 600 ASTM A217 WC6 BOLTED BONNET","8"" GATE VALVE BOLTED BONNET CLASS 600 ASTM A217 WC6",1.0,SYNTHETIC_MRO_CLUSTER
"GATE VALVE 8"" CLASS 600 ASTM A217 WC6 BOLTED BONNET","GATE VALVE 8"" 600LBS SS 316L BOLTED BONNET",0.0,SYNTHETIC_CRITICAL_CONFLICT
"SPIRAL WOUND GASKET 1"" 900# SS 304 WINDINGS WITH CENTERING RING","SS 304 WINDINGS SPIRAL WOUND GASKET, 1"", 900#, WITH CENTERING RING, STD: ASME B16.20",1.0,SYNTHETIC_MRO_CLUSTER
